Question,Answer
Hi,"Hello,How can I help you?"
Hello,"Hello,How can I help you?"
Hey,"Hello,How can I help you?"
Howdy,"Hello,How can I help you?"
How to create employee records,Please choose Medical Records option on the side bar.
How to modify employee records,Please choose Medical Records option on the side bar.
How to view employee records,Please choose Medical Records option on the side bar.
How to delete employee records,Please choose Medical Records option on the side bar.
How to authorize transaction requests,Please choose Medical Records option on the side bar.
How to decline transaction requests,Please choose Medical Records option on the side bar.
How to create internal files,Please choose Medical Records option on the side bar.
How to view internal files,Please choose Medical Records option on the side bar.
How to maintain internal files,Please choose Medical Records option on the side bar.
How to delete internal files,Please choose Medical Records option on the side bar.
How to access system log files,Please choose Medical Records option on the side bar.